タイムスタンプ	ファイル名	エラー	メッセージ
2026-01-18 08:55:44.842 +0900	NightClub2.fmp12	0	*** 不適切に終了されたファイルの一貫性チェックを開始しました。チェックするブロック数合計 74
2026-01-18 08:55:44.842 +0900	NightClub2.fmp12	8432	ページ 58 はフリーとマークされていますが、フリーリストに存在しません
2026-01-18 08:55:44.842 +0900	NightClub2.fmp12	8432	ページ 59 はフリーとマークされていますが、フリーリストに存在しません
2026-01-18 08:55:44.842 +0900	NightClub2.fmp12	8432	ページ 60 はフリーとマークされていますが、フリーリストに存在しません
2026-01-18 08:55:44.842 +0900	NightClub2.fmp12	8432	ページ 61 はフリーとマークされていますが、フリーリストに存在しません
2026-01-18 08:55:44.842 +0900	NightClub2.fmp12	8432	ページ 62 はフリーとマークされていますが、フリーリストに存在しません
2026-01-18 08:55:44.842 +0900	NightClub2.fmp12	8432	ページ 63 はフリーとマークされていますが、フリーリストに存在しません
2026-01-18 08:55:44.842 +0900	NightClub2.fmp12	8432	ページ 64 はフリーとマークされていますが、フリーリストに存在しません
2026-01-18 08:55:44.842 +0900	NightClub2.fmp12	8432	ページ 65 はフリーとマークされていますが、フリーリストに存在しません
2026-01-18 08:55:44.842 +0900	NightClub2.fmp12	8432	ページ 66 はフリーとマークされていますが、フリーリストに存在しません
2026-01-18 08:55:44.842 +0900	NightClub2.fmp12	8432	ページ 67 はフリーとマークされていますが、フリーリストに存在しません
2026-01-18 08:55:44.842 +0900	NightClub2.fmp12	8432	ページ 68 はフリーとマークされていますが、フリーリストに存在しません
2026-01-18 08:55:44.842 +0900	NightClub2.fmp12	8432	ページ 69 はフリーとマークされていますが、フリーリストに存在しません
2026-01-18 08:55:44.842 +0900	NightClub2.fmp12	8432	ページ 70 はフリーとマークされていますが、フリーリストに存在しません
2026-01-18 08:55:44.850 +0900	NightClub2.fmp12	8432	ページ 71 はフリーとマークされていますが、フリーリストに存在しません
2026-01-18 08:55:44.851 +0900	NightClub2.fmp12	8432	ページ 72 はフリーとマークされていますが、フリーリストに存在しません
2026-01-18 08:55:44.851 +0900	NightClub2.fmp12	8432	ページ 73 はフリーとマークされていますが、フリーリストに存在しません
2026-01-18 08:55:44.851 +0900	NightClub2.fmp12	0	最大ブロックのシーケンス番号を 82001 にリセットします。
2026-01-18 08:55:44.851 +0900	NightClub2.fmp12	0	*** 一貫性チェックを完了しました。 74 ブロックをチェックしました
2026-01-18 12:16:04.546 +0900	NightClub2.fmp12	0	*** 不適切に終了されたファイルの一貫性チェックを開始しました。チェックするブロック数合計 59
2026-01-18 12:16:04.546 +0900	NightClub2.fmp12	8432	ページ 51 はフリーとマークされていますが、フリーリストに存在しません
2026-01-18 12:16:04.550 +0900	NightClub2.fmp12	8432	ページ 54 はフリーとマークされていますが、フリーリストに存在しません
2026-01-18 12:16:04.551 +0900	NightClub2.fmp12	8432	ページ 58 はフリーとマークされていますが、フリーリストに存在しません
2026-01-18 12:16:04.553 +0900	NightClub2.fmp12	0	最大ブロックのシーケンス番号を 103293 にリセットします。
2026-01-18 12:16:04.554 +0900	NightClub2.fmp12	0	*** 一貫性チェックを完了しました。 59 ブロックをチェックしました
2026-01-18 12:25:50.584 +0900	NightClub2.fmp12	0	*** 不適切に終了されたファイルの一貫性チェックを開始しました。チェックするブロック数合計 59
2026-01-18 12:25:50.588 +0900	NightClub2.fmp12	8432	ページ 51 はフリーとマークされていますが、フリーリストに存在しません
2026-01-18 12:25:50.591 +0900	NightClub2.fmp12	8432	ページ 54 はフリーとマークされていますが、フリーリストに存在しません
2026-01-18 12:25:50.593 +0900	NightClub2.fmp12	8432	ページ 58 はフリーとマークされていますが、フリーリストに存在しません
2026-01-18 12:25:50.597 +0900	NightClub2.fmp12	0	最大ブロックのシーケンス番号を 103293 にリセットします。
2026-01-18 12:25:50.601 +0900	NightClub2.fmp12	0	*** 一貫性チェックを完了しました。 59 ブロックをチェックしました
